Order_ID,Date,Delivery_Status,Delivery_Time,Delivery_Cost,Customer_Rating,Rider_ID
ORDER169,2023-04-05,Failed,87,181.71,5,RIDER169
ORDER170,2023-02-27,Delivered,62,103.51,5,RIDER170
ORDER171,2023-02-01,Failed,74,380.83,4,RIDER171
ORDER172,2023-06-18,In Transit,116,171.24,1,RIDER172
ORDER173,2023-01-20,Delivered,113,125.04,1,RIDER173
ORDER174,2023-05-05,Failed,101,370.24,3,RIDER174
ORDER175,2023-03-23,In Transit,77,385.85,4,RIDER175
ORDER176,2023-04-16,In Transit,23,484.18,3,RIDER176
ORDER177,2023-03-31,In Transit,118,382.15,1,RIDER177
ORDER178,2023-11-03,In Transit,106,285.28,2,RIDER178
ORDER179,2023-05-30,Delivered,104,310.57,5,RIDER179
ORDER180,2023-06-03,Failed,118,342.38,5,RIDER180
ORDER181,2023-12-07,In Transit,28,176.69,1,RIDER181
ORDER182,2023-01-17,Failed,65,67.71,1,RIDER182
ORDER183,2023-03-08,Failed,30,326.13,4,RIDER183
ORDER184,2023-09-11,Failed,44,151.28,5,RIDER184
ORDER185,2023-12-01,Failed,54,93.78,1,RIDER185
ORDER186,2023-01-10,Delivered,74,70.67,5,RIDER186
ORDER187,2023-02-19,Failed,93,75.92,3,RIDER187
ORDER188,2023-03-12,In Transit,111,481.8,2,RIDER188
ORDER189,2023-11-04,Failed,51,334.45,4,RIDER189
ORDER190,2023-07-29,Failed,77,153.7,1,RIDER190
ORDER191,2023-03-06,Delivered,57,478.06,1,RIDER191
ORDER192,2023-01-14,Delivered,40,231.43,3,RIDER192
ORDER193,2023-12-21,In Transit,70,269.72,1,RIDER193
ORDER194,2023-03-24,Delivered,14,393.37,2,RIDER194
ORDER195,2023-02-18,Failed,18,499.08,4,RIDER195
ORDER196,2023-09-07,Failed,63,132.92,4,RIDER196
ORDER197,2023-09-14,Delivered,26,244.52,1,RIDER197
ORDER198,2023-11-24,Failed,119,188.99,5,RIDER198
ORDER199,2023-05-29,In Transit,51,476.8,5,RIDER199
ORDER200,2023-12-30,In Transit,29,349.99,4,RIDER200
ORDER201,2023-04-03,In Transit,63,314.31,5,RIDER201
ORDER202,2023-01-30,In Transit,88,323.24,3,RIDER202
ORDER203,2023-04-20,Failed,50,443.62,2,RIDER203
ORDER204,2023-01-05,In Transit,119,361.89,3,RIDER204
ORDER205,2023-01-05,Failed,95,137.78,2,RIDER205
ORDER206,2023-01-04,Failed,113,352.04,3,RIDER206
ORDER207,2023-11-21,Delivered,11,148.08,5,RIDER207
ORDER208,2023-01-12,Delivered,23,234.99,5,RIDER208
ORDER209,2023-10-04,Delivered,86,171.66,3,RIDER209
ORDER210,2023-02-08,Delivered,75,273.86,2,RIDER210
ORDER211,2023-08-02,Delivered,101,479.46,5,RIDER211
ORDER212,2023-02-04,Failed,82,180.57,5,RIDER212
ORDER213,2023-09-29,Delivered,120,482.77,5,RIDER213
ORDER214,2023-08-25,In Transit,60,232.34,3,RIDER214
ORDER215,2023-02-21,Delivered,103,231.62,5,RIDER215
ORDER216,2023-08-06,In Transit,19,119.6,1,RIDER216
ORDER217,2023-08-14,In Transit,111,310.67,5,RIDER217
ORDER218,2023-08-08,In Transit,82,303.06,2,RIDER218
ORDER219,2023-10-27,Failed,55,418.66,3,RIDER219
ORDER220,2023-11-17,In Transit,113,304.34,4,RIDER220
ORDER221,2023-08-26,Delivered,67,62.31,5,RIDER221
ORDER222,2023-11-04,In Transit,64,64.71,4,RIDER222
ORDER223,2023-09-03,Failed,42,496.42,4,RIDER223
ORDER224,2023-06-13,Failed,66,338.06,5,RIDER224
ORDER225,2023-05-23,In Transit,20,452.12,3,RIDER225
ORDER226,2023-12-12,In Transit,28,236.68,5,RIDER226
ORDER227,2023-09-03,In Transit,42,420.27,3,RIDER227
ORDER228,2023-06-29,Failed,16,243.64,5,RIDER228
ORDER229,2023-11-30,Delivered,48,493.41,2,RIDER229
ORDER230,2023-07-24,Delivered,91,182.28,2,RIDER230
ORDER231,2023-08-06,Failed,54,482.56,3,RIDER231
ORDER232,2023-04-29,Delivered,120,188.95,4,RIDER232
ORDER233,2023-12-20,In Transit,59,359.55,2,RIDER233
ORDER234,2023-12-08,Failed,108,69.41,2,RIDER234
ORDER235,2023-06-03,In Transit,11,444.77,3,RIDER235
ORDER236,2023-11-07,In Transit,109,188.79,4,RIDER236
ORDER237,2023-05-28,Failed,66,69.67,1,RIDER237
ORDER238,2023-06-21,Delivered,21,117.94,4,RIDER238
ORDER239,2023-08-12,Delivered,10,498.0,4,RIDER239
ORDER240,2023-11-25,In Transit,71,405.47,2,RIDER240
ORDER241,2023-05-10,Failed,81,141.73,1,RIDER241
ORDER242,2023-03-26,Delivered,60,181.29,2,RIDER242
ORDER243,2023-01-20,In Transit,99,81.47,2,RIDER243
ORDER244,2023-10-03,Failed,81,376.2,5,RIDER244
ORDER245,2023-05-15,Failed,89,333.95,1,RIDER245
ORDER246,2023-09-09,Delivered,105,293.22,3,RIDER246
ORDER247,2023-09-03,Failed,40,151.44,4,RIDER247
ORDER248,2023-02-16,Delivered,25,231.69,2,RIDER248
ORDER249,2023-03-07,Delivered,112,285.67,3,RIDER249
ORDER250,2023-06-24,Delivered,16,164.14,4,RIDER250
ORDER251,2023-04-23,In Transit,88,303.77,5,RIDER251
ORDER252,2023-12-14,Failed,51,452.32,4,RIDER252
ORDER253,2023-07-07,In Transit,19,451.44,3,RIDER253
ORDER254,2023-10-28,Delivered,67,391.43,1,RIDER254
ORDER255,2023-03-07,In Transit,25,74.53,4,RIDER255
ORDER256,2023-08-12,In Transit,79,475.01,3,RIDER256
ORDER257,2023-08-19,Failed,64,146.75,2,RIDER257
ORDER258,2023-07-03,In Transit,79,403.84,3,RIDER258
ORDER259,2023-05-08,Delivered,56,490.12,1,RIDER259
ORDER260,2023-08-18,In Transit,93,125.87,5,RIDER260
ORDER261,2023-10-18,In Transit,64,283.25,5,RIDER261
ORDER262,2023-07-18,Delivered,68,392.55,5,RIDER262
ORDER263,2023-03-18,In Transit,74,113.26,5,RIDER263
ORDER264,2023-10-21,Failed,76,397.35,3,RIDER264
ORDER265,2023-01-10,Delivered,66,349.26,3,RIDER265
ORDER266,2023-10-07,Failed,67,392.45,2,RIDER266
ORDER267,2023-02-18,Delivered,60,216.98,2,RIDER267
ORDER268,2023-12-10,In Transit,15,352.7,1,RIDER268
ORDER269,2023-07-19,Failed,66,442.54,1,RIDER269
ORDER270,2023-05-10,Failed,113,105.05,4,RIDER270
ORDER271,2023-12-24,Failed,65,359.31,3,RIDER271
ORDER272,2023-10-11,Failed,20,373.15,5,RIDER272
ORDER273,2023-01-22,In Transit,86,176.63,2,RIDER273
ORDER274,2023-06-01,Delivered,36,91.82,1,RIDER274
ORDER275,2023-05-14,In Transit,51,482.66,4,RIDER275
ORDER276,2023-03-07,Failed,15,435.8,3,RIDER276
ORDER277,2023-06-16,In Transit,102,463.86,5,RIDER277
ORDER278,2023-11-26,Delivered,120,56.75,5,RIDER278
ORDER279,2023-05-14,In Transit,61,219.33,5,RIDER279
ORDER280,2023-09-02,Failed,11,144.14,5,RIDER280
ORDER281,2023-02-25,Delivered,78,365.28,4,RIDER281
ORDER282,2023-04-17,Delivered,35,483.54,3,RIDER282
ORDER283,2023-01-10,Delivered,36,459.46,3,RIDER283
ORDER284,2023-07-09,Delivered,67,219.63,2,RIDER284
ORDER285,2023-04-23,Failed,73,281.9,1,RIDER285
ORDER286,2023-05-06,Failed,65,324.33,1,RIDER286
ORDER287,2023-02-17,In Transit,82,401.48,3,RIDER287
ORDER288,2023-01-04,Delivered,88,290.19,4,RIDER288
ORDER289,2023-04-28,In Transit,59,283.28,2,RIDER289
ORDER290,2023-03-06,Failed,88,192.46,5,RIDER290
ORDER291,2023-03-21,Delivered,16,126.81,4,RIDER291
ORDER292,2023-07-02,Failed,28,233.31,2,RIDER292
ORDER293,2023-05-09,In Transit,54,208.66,2,RIDER293
ORDER294,2023-03-27,Delivered,48,209.46,4,RIDER294
ORDER295,2023-12-25,Failed,104,330.03,5,RIDER295
ORDER296,2023-12-07,In Transit,109,320.75,1,RIDER296
ORDER297,2023-06-11,Delivered,120,410.26,5,RIDER297
ORDER298,2023-12-21,Failed,49,179.47,2,RIDER298
ORDER299,2023-03-19,In Transit,86,126.22,5,RIDER299
ORDER300,2023-04-25,Failed,74,385.19,4,RIDER300
ORDER301,2023-04-26,Delivered,102,325.43,1,RIDER301
ORDER302,2023-07-16,In Transit,88,368.81,3,RIDER302
ORDER303,2023-05-11,In Transit,31,65.51,5,RIDER303
ORDER304,2023-08-17,In Transit,88,468.01,3,RIDER304
ORDER305,2023-10-16,Delivered,72,121.01,5,RIDER305
ORDER306,2023-08-13,In Transit,82,382.7,3,RIDER306
ORDER307,2023-03-05,Delivered,20,114.87,2,RIDER307
ORDER308,2023-12-31,In Transit,37,82.2,3,RIDER308
ORDER309,2023-08-02,In Transit,25,188.71,2,RIDER309
ORDER310,2023-08-09,Delivered,36,270.71,3,RIDER310
ORDER311,2023-11-23,In Transit,75,395.19,4,RIDER311
ORDER312,2023-03-13,In Transit,66,371.61,2,RIDER312
ORDER313,2023-10-31,Failed,32,114.34,1,RIDER313
ORDER314,2023-05-03,Delivered,106,321.39,5,RIDER314
ORDER315,2023-03-13,In Transit,104,260.13,5,RIDER315
ORDER316,2023-05-01,Failed,21,469.43,2,RIDER316
ORDER317,2023-11-05,In Transit,103,442.31,1,RIDER317
ORDER318,2023-09-12,Failed,22,66.29,5,RIDER318
ORDER319,2023-06-23,Failed,39,52.78,3,RIDER319
ORDER320,2023-09-05,Delivered,91,420.68,5,RIDER320
ORDER321,2023-06-28,Delivered,102,53.41,5,RIDER321
ORDER322,2023-07-03,Failed,44,473.19,4,RIDER322
ORDER323,2023-08-19,In Transit,88,360.44,1,RIDER323
ORDER324,2023-03-20,Failed,40,466.45,3,RIDER324
ORDER325,2023-11-07,Failed,58,439.08,5,RIDER325
ORDER326,2023-07-21,Delivered,43,92.68,5,RIDER326
ORDER327,2023-10-01,Failed,32,188.56,5,RIDER327
ORDER328,2023-08-16,Delivered,59,268.27,4,RIDER328
ORDER329,2023-03-25,Failed,38,182.8,1,RIDER329
ORDER330,2023-07-05,Delivered,96,477.58,5,RIDER330
ORDER331,2023-05-02,In Transit,52,256.57,4,RIDER331
ORDER332,2023-08-28,Failed,34,65.83,4,RIDER332
ORDER333,2023-08-16,Delivered,101,273.67,2,RIDER333
ORDER334,2023-08-06,Delivered,12,92.13,4,RIDER334
ORDER335,2023-08-14,Delivered,24,244.76,1,RIDER335
ORDER336,2023-08-26,In Transit,43,186.05,5,RIDER336
ORDER337,2023-01-19,Delivered,78,271.84,2,RIDER337
ORDER338,2023-02-27,Failed,87,440.11,4,RIDER338
ORDER339,2023-11-16,In Transit,88,173.95,2,RIDER339
ORDER340,2023-03-13,In Transit,75,264.48,3,RIDER340
ORDER341,2023-04-26,Failed,53,302.8,5,RIDER341
ORDER342,2023-11-11,In Transit,34,276.14,5,RIDER342
ORDER343,2023-01-12,Failed,37,438.1,5,RIDER343
ORDER344,2023-02-22,In Transit,38,153.23,2,RIDER344
ORDER345,2023-04-24,Failed,87,315.67,4,RIDER345
ORDER346,2023-02-08,In Transit,107,476.39,3,RIDER346
ORDER347,2023-08-12,Delivered,79,160.29,4,RIDER347
ORDER348,2023-11-25,In Transit,23,228.06,1,RIDER348
ORDER349,2023-07-23,Failed,69,344.68,4,RIDER349
ORDER350,2023-12-10,Failed,85,252.37,3,RIDER350
ORDER351,2023-03-03,Delivered,73,261.19,4,RIDER351
ORDER352,2023-08-29,In Transit,53,68.83,5,RIDER352
ORDER353,2023-03-13,Delivered,89,69.02,1,RIDER353
ORDER354,2023-10-24,In Transit,57,345.71,3,RIDER354
ORDER355,2023-06-02,Delivered,106,194.76,4,RIDER355
ORDER356,2023-09-02,In Transit,16,297.91,1,RIDER356
ORDER357,2023-03-12,Failed,80,175.32,2,RIDER357
ORDER358,2023-07-10,In Transit,78,247.67,3,RIDER358
ORDER359,2023-09-09,In Transit,110,84.33,3,RIDER359
ORDER360,2023-02-02,Failed,116,162.71,4,RIDER360
ORDER361,2023-06-10,Failed,48,473.14,4,RIDER361
ORDER362,2023-06-30,In Transit,39,303.66,3,RIDER362
ORDER363,2023-03-07,In Transit,55,393.49,2,RIDER363
ORDER364,2023-10-12,In Transit,39,169.82,5,RIDER364
ORDER365,2023-09-04,Failed,95,141.67,3,RIDER365
ORDER366,2023-06-17,Failed,86,51.02,3,RIDER366
ORDER367,2023-10-11,In Transit,93,429.59,4,RIDER367
ORDER368,2023-03-30,Failed,103,55.57,5,RIDER368
ORDER369,2023-08-12,Failed,78,84.28,1,RIDER369
ORDER370,2023-11-12,Delivered,57,136.26,5,RIDER370
ORDER371,2023-11-18,Delivered,101,333.94,2,RIDER371
ORDER372,2023-09-05,Delivered,41,143.54,4,RIDER372
ORDER373,2023-05-29,Failed,80,454.7,3,RIDER373
ORDER374,2023-01-25,Failed,53,347.12,5,RIDER374
ORDER375,2023-11-07,Failed,23,159.57,2,RIDER375
ORDER376,2023-06-25,Delivered,108,308.3,5,RIDER376
ORDER377,2023-06-16,Failed,117,378.96,3,RIDER377
ORDER378,2023-06-18,Delivered,16,160.15,1,RIDER378
ORDER379,2023-01-29,Delivered,59,146.13,3,RIDER379
ORDER380,2023-11-23,Failed,16,147.26,5,RIDER380
ORDER381,2023-04-12,Delivered,28,462.23,1,RIDER381
ORDER382,2023-04-21,In Transit,48,67.12,3,RIDER382
ORDER383,2023-04-28,In Transit,72,440.89,2,RIDER383
ORDER384,2023-04-21,In Transit,81,266.35,2,RIDER384
ORDER385,2023-09-17,In Transit,55,439.38,2,RIDER385
ORDER386,2023-04-27,In Transit,30,308.65,3,RIDER386
ORDER387,2023-07-09,Delivered,18,310.42,3,RIDER387
ORDER388,2023-03-21,Delivered,70,320.35,4,RIDER388
ORDER389,2023-05-21,Delivered,65,374.71,1,RIDER389
ORDER390,2023-10-26,Failed,44,272.51,2,RIDER390
ORDER391,2023-04-17,Delivered,61,268.24,5,RIDER391
ORDER392,2023-05-19,Failed,92,356.73,4,RIDER392
ORDER393,2023-06-23,In Transit,87,496.45,3,RIDER393
ORDER394,2023-01-27,Failed,48,174.29,2,RIDER394
ORDER395,2023-06-04,Failed,37,242.38,2,RIDER395
ORDER396,2023-11-11,Delivered,17,72.6,1,RIDER396
ORDER397,2023-05-16,Failed,37,346.07,2,RIDER397
ORDER398,2023-02-07,In Transit,104,417.19,2,RIDER398
ORDER399,2023-04-06,Delivered,14,484.17,4,RIDER399
ORDER400,2023-08-17,In Transit,111,136.59,2,RIDER400
ORDER401,2023-06-10,Failed,17,493.83,1,RIDER401
ORDER402,2023-12-04,Failed,83,485.35,4,RIDER402
ORDER403,2023-02-06,Delivered,115,315.12,4,RIDER403
ORDER404,2023-08-19,Delivered,66,93.07,3,RIDER404
ORDER405,2023-02-14,Failed,38,424.21,5,RIDER405
ORDER406,2023-04-30,In Transit,45,484.24,1,RIDER406
ORDER407,2023-10-23,In Transit,64,231.07,3,RIDER407
ORDER408,2023-06-30,Failed,82,222.8,1,RIDER408
ORDER409,2023-12-19,In Transit,85,370.29,3,RIDER409
ORDER410,2023-12-16,Delivered,34,491.33,1,RIDER410
ORDER411,2023-10-24,Delivered,40,241.68,3,RIDER411
ORDER412,2023-12-01,Failed,52,121.8,5,RIDER412
ORDER413,2023-04-13,In Transit,14,378.27,2,RIDER413
ORDER414,2023-10-13,Failed,76,484.74,5,RIDER414
ORDER415,2023-06-13,In Transit,116,455.36,5,RIDER415
ORDER416,2023-10-24,In Transit,111,332.39,1,RIDER416
ORDER417,2023-06-13,Delivered,18,495.61,1,RIDER417
ORDER418,2023-11-07,Failed,92,285.73,4,RIDER418
ORDER419,2023-11-23,In Transit,68,313.13,2,RIDER419
ORDER420,2023-05-27,Failed,28,459.53,5,RIDER420
ORDER421,2023-11-04,In Transit,120,117.49,2,RIDER421
ORDER422,2023-10-28,Failed,119,102.27,2,RIDER422
ORDER423,2023-04-18,In Transit,98,253.52,2,RIDER423
ORDER424,2023-04-29,In Transit,70,346.19,2,RIDER424
ORDER425,2023-03-27,Delivered,37,291.63,3,RIDER425
ORDER426,2023-09-25,Delivered,44,164.29,5,RIDER426
ORDER427,2023-01-04,In Transit,22,341.38,4,RIDER427
ORDER428,2023-05-24,In Transit,82,165.88,4,RIDER428
ORDER429,2023-07-19,Failed,52,234.63,1,RIDER429
ORDER430,2023-07-29,Failed,55,131.8,2,RIDER430
ORDER431,2023-07-05,Failed,63,197.27,2,RIDER431
ORDER432,2023-02-21,Delivered,23,437.52,5,RIDER432
ORDER433,2023-07-02,In Transit,65,476.63,4,RIDER433
ORDER434,2023-03-09,In Transit,37,406.16,5,RIDER434
ORDER435,2023-06-15,Failed,40,333.12,5,RIDER435
ORDER436,2023-04-04,Failed,96,272.16,5,RIDER436
ORDER437,2023-01-03,Delivered,33,133.16,4,RIDER437
ORDER438,2023-04-20,In Transit,28,157.07,1,RIDER438
ORDER439,2023-01-09,Delivered,103,278.41,1,RIDER439
